"glytoucan_ac","sequence_glycam_iupac"
"G01180DW","DNeup5Aca2-6DGalpb1-4DGalpNAcb1-2DManpa1-6DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01200BW","DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3[DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-6]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G01220PX","DManpa1-6DManpa1-6DManpa1-6[DManpa1-2DManpa1-2]DManpa1-3[DManpa1-2DManpa1-6[DManpa1-3]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01237HZ","DGalpb1-3DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpb1-"
"G01243KR","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6[LFucpa1-2DGalpb1-4DGlcpNAcb1-3]DGalpNAca1-"
"G01244DB","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01296LJ","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G01308XT","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4[DGalpb1-4DGlcpNAcb1-6]DManpa1-3[DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01316HN","DGalpb1-3DGlcpNAcb1-3DGalpb1-3DGlcpNAcb1-3DGalpb1-3DGalpNAca1-"
"G01342FO","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2DManpa1-3[DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G01354KL","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G01361SX","DGlcpNAcb1-4DGlcpNAcb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01366WY","DXylpb1-3DManpa1-"
"G01378OV","DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01424EN","DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G01447WV","LFucpb1-6DGlcpNAca1-"
"G01457KB","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6[DGlcpNAcb1-3]DGalpNAca1-"
"G01476UF","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpb1-3DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01534TU","DGalpb1-3DGalpNAcb1-"
"G01543QR","LArapa1-2[DGlcpb1-3]LArapa1-"
"G01545QB","DManpb1-2DManpb1-2DManpb1-"
"G01577DB","DGalp[3S]b1-3[LFucpa1-2]DGalpb1-3[DGlcpNAcb1-6]DGalpNAca1-"
"G01590HD","DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-3[DGlcpa1-3DManpa1-2DManpa1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01599BJ","DGalpb1-6DGalfb1-"
"G01602LO","DManpa1-2DManpb1-4DGlcpNAca1-"
"G01614ZM","DNeup5Aca2-3DGalpb1-3[DNeup5Aca2-6]DGalpNAca1-"
"G01625GQ","DGalpb1-3[LFucpa1-2]DGalpb1-3[DGlcpNAcb1-6]DGalpNAca1-"
"G01629YL","DXylpa1-3DGlcpb1-"
"G01635ZC","DGalpNAca1-3[DFucpa1-2]DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAca1-6]DManpa1-6]DManpb1-4DGlcpNAca1-4[DFucpa1-6]DGlcpNAca1-"
"G01643LM","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6[DGalpb1-3]DGalpNAcb1-"
"G01669LU","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4[DGalpb1-4DGlcpNAcb1-2]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01707KB","DGalpNAcb1-3DGlcpNAcb1-6[DGalpb1-3]DGalpNAca1-"
"G01708UF","DNeup5Aca2-3DGalpb1-6DGalpNAcb1-4DGalpb1-4DGlcpb1-"
"G01727PW","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01744JD","LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3[LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-6]DGalpNAca1-"
"G01748MD","LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-"
"G01752VH","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G01759NM","DGalpb1-4DGlcpNAcb1-6[DGalpb1-3]DGalpNAcb1-"
"G01760ZU","DManpa1-2DManpa1-2DManpa1-3DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01767JJ","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G01846YN","DGlcpa1-1DGalpa1-"
"G01854VF","DGlcpNAcb1-3LFucpb1-"
"G01859LC","DGalpb1-4DGlcpNAcb1-2DManpb1-6[DGlcpNAcb1-4DManpa1-3]DManpa1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01866TT","DGlcpAb1-3DGlcpNAcb1-4DGlcpAb1-3DGlcpNAcb1-4DGlcpAb1-3DGlcpNAcb1-"
"G01891JS","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01923XE","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G01935FK","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01999JH","DManpa1-3[DManpa1-6]DManpa1-6[DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAca1-"
"G02000AU","DGlcpNAcb1-2[DGlcpNAcb1-4][DGlcpNAcb1-6]DManpa1-3/6[DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-3/6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G02025MF","DGalpa1-4[LFucpa1-3]DGlcpNAcb1-2[DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4]DManpa1-3[DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2[DGalpb1-4[LFucpa1-3]DGlcpNAcb1-6]DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G02029PW","DXylpb1-2[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G02032MW","LFucpa1-2DGalpb1-3DGlcpNAcb1-3[LFucpa1-2DGalpb1-4DGlcpNAcb1-6]DGalpNAca1-"
"G02038LQ","DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpNAcb1-3[DGalpNAcb1-4]DGalpb1-4DGlcpb1-"
"G02050BR","DManpa1-2DManpa1-3/6[DManpa1-3/6]DManpa1-6[DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02081QK","DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-3DManpa1-6]DManpb1-4DGlcpNAcb1-4[DFucpb1-6]DGlcpNAca1-"
"G02149VR","DNeup5Aca2-3DGalpb1-3[DNeup5Aca2-6]DGalpNAcb1-4[DNeup5Aca2-3]DGalpb1-4DGlcpb1-"
"G02162KR","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-4DGalpb1-"
"G02230VA","LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-6[DGlcpNAcb1-3]DGalpNAca1-"
"G02252NT","DXylpb1-6DGlcpa1-"
"G02256MB","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6[DGalpb1-3]DGalpNAca1-3DGalpNAca1-"
"G02273DT","DGalpNAca1-3DGalpa1-"
"G02284UY","DGalpa1-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02288EO","DNeup5Aca2-3[DNeup5Aca2-6]DGalpb1-3DGalpNAca1-"
"G02290KA","DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02310VX","DGalpNAcb1-4DGlcpNAcb1-2[DGalpNAcb1-4DGlcpNAcb1-6]DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G02311IE","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G02311SL","DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-2DManpa1-3DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02342QI","DGlcpNAcb1-2/4DManpa1-3DManpb1-4DGlcpNAcb1-"
"G02349HM","DManpa1-2[DManpa1-4]DManpa1-"
"G02393VO","LFucpa1-4DGlcpa1-"
"G02394XU","DGlcpNAca1-2DGalfa1-2DGalpb1-"
"G02402HF","DGalpNAcb1-3DGalpa1-3DGalpb1-3DGlcpb1-"
"G02403ZU","DGalpb1-3DGlcpNAcb1-3DGalpb1-3[DGalpb1-4DGlcpNAcb1-6]DGalpNAcb1-"
"G02425YO","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4DGalpb1-4[LFucpa1-3]DGlcpNAcb1-"
"G02442YU","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpb1-4[DFucpa1-3]DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAca1-"
"G02471GW","DGalpa1-3DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G02474FD","DGalpb1-4DGlcpNAcb1-4DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-4DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02522JF","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpNAca1-"
"G02534MS","DManpb1-6DManpb1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02541EM","DManpa1-6DManpa1-4DGlcpNAca1-4DGlcpNAca1-"
"G02568AU","DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-"
"G02582JY","DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-2DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02622IU","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3DManpb1-4DGlcpNAcb1-"
"G02657AK","DNeup5Aca2-8DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpb1-"
"G02657BS","LFucpa1-2LArapa1-3DGlcpNAcb1-"
"G02660WC","DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAca1-"
"G02679YX","DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G02684WR","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-"
"G02698RR","DManpb1-4DManpb1-6[DManpa1-3]DManpa1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02710ET","DGalpNAca1-3[LFucpa1-2]DGalpb1-3DGalpb1-"
"G02747VH","DGalpa1-3DGalpNAcb1-"
"G02763QD","DManpa1-2DManpa1-6DManpa1-6DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G02816CI","DGalfa1-"
"G02878SQ","DManpa1-2DManpa1-3DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-"
"G02934UB","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
